Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
,,,,"For Kit,Software,Lkey Only","For Kit,Software,Lkey Only",,"(Role READ/DISCOVER P3) Read P3 Kit,Software,Lkey",Create All Items (Subclass Level)
,,,,,,,"(Role MOD PARTS P3 CMA'S) Mod P3 Kit,Software,Lkey",Role DELL LEGAL
,,,,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Kit,Software,Lkey",Role VIEWER I
,,,,,,,(Role MODIFY S/W P3) Mod Software Kit Software LK,Role DOCUMENT SUBMITTER
,,,,,,,"Checkin-Kit,Software,Lkey",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,,,,"Upgrade Supplier Access - Modify Kit,Software,Lkey",Role Check In Check Out
,,,,,,,"Modify Attachments-Kit,Software,Lkey","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,,,,,Role CREATOR
,,,,,,,,Role VIEWER F
,,,,,,,,Role READ/DISCOVER P3
,,,,,,,,Role MOD PARTS P3 PROJ PLNR
,,,,,,,,Role VIEWER J 3B
,,,,,,,,Role VIEWER H
,,,,,,,,Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Role MODIFY S/W P3
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
Label,Parts,191710,1,For Label Only - Exclude SBOM,For Label Only - Exclude SBOM,,(Role VIEWER K 3D1) GetFile Label,Type O Role
,,,,(Role VIEWER F) GetFile Label,(Role VIEWER F) GetFile Label,,(Role VIEWER B) GetFile Label,Role VIEWER E
,,,,(Role VIEWER K 3D1) GetFile Label,(Role VIEWER K 3D1) GetFile Label,,(Role VIEWER D) GetFile Label,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role VIEWER J 3B) GetFile Label,(Role VIEWER J 3B) GetFile Label,,Upgrade Supplier Access - Modify Label,Create All Items (Subclass Level)
,,,,(Role VIEWER H) GetFile Label,(Role VIEWER H) GetFile Label,,(Role MOD PARTS P3 CMA'S) Mod P3 Label,Role DELL LEGAL
,,,,(Role VIEWER C) GetFile Label,(Role VIEWER C) GetFile Label,,(Role VIEWER F) GetFile Label,Role VIEWER I
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Label,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Label,,(Role READ/DISCOVER P3) Read P3 Label,Role DOCUMENT SUBMITTER
,,,,(Role VIEWER B) GetFile Label,(Role VIEWER B) GetFile Label,,Modify Attachments-Label,Openmanage Viewer
,,,,(Role VIEWER I) GetFile Label,(Role VIEWER I) GetFile Label,,Create-Label,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role VIEWER G) GetFile Label,(Role VIEWER G) GetFile Label,,(Role VIEWER J 3B) GetFile Label,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,All Parts-Label (Subclass Access),All Parts-Label (Subclass Access),,(Role VIEWER C) GetFile Label,Role Check In Check Out
,,,,For Label Only,For Label Only,,(Role VIEWER E) GetFile Label,Role VIEWER F
,,,,(Role VIEWER E) GetFile Label,(Role VIEWER E) GetFile Label,,Checkout-Label,Role CREATOR
,,,,(Role VIEWER D) GetFile Label,(Role VIEWER D) GetFile Label,,(Role VIEWER H) GetFile Label,Role READ/DISCOVER P3
,,,,,,,(Role VIEWER G) GetFile Label,Role MOD PARTS P3 PROJ PLNR
,,,,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Label,Role VIEWER J 3B
,,,,,,,Checkin-Label,Role VIEWER H
,,,,,,,(Role READ/DISCOVER P3) Discover P3 Label,Role VIEWER C
,,,,,,,(Role VIEWER I) GetFile Label,Role PGDS ANALYST
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
Labor,Parts,5,0,All Parts-Labor (Subclass Access),All Parts-Labor (Subclass Access),,Create-Labor,Type O Role
,,,,For Labor Only - Exclude SBOM,For Labor Only - Exclude SBOM,,(Role VIEWER I) GetFile Labor,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Labor,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Labor,,(Role READ/DISCOVER P3) Read P3 Labor,Role VIEWER E
,,,,For Labor Only,For Labor Only,,Modify Attachments-Labor,Create All Items (Subclass Level)
,,,,GetFile Labor,GetFile Labor,,Upgrade Supplier Access - Modify Labor,Role DELL LEGAL
,,,,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Labor,Role VIEWER I
,,,,,,,(Role MOD PARTS P3 CMA'S) Mod P3 Labor,Role DOCUMENT SUBMITTER
,,,,,,,(Role VIEWER D) GetFile Labor,Openmanage Viewer
,,,,,,,(Role VIEWER C) GetFile Labor,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,,,,(Role VIEWER B) GetFile Labor,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,,,,Checkin-Labor,Role Check In Check Out
,,,,,,,Checkout-Labor,Role CREATOR
,,,,,,,(Role VIEWER H) GetFile Labor,Role VIEWER F
,,,,,,,(Role VIEWER G) GetFile Labor,Role READ/DISCOVER P3
,,,,,,,(Role VIEWER K 3D1) GetFile Labor,Role MOD PARTS P3 PROJ PLNR
,,,,,,,(Role READ/DISCOVER P3) Discover P3 Labor,Role VIEWER J 3B
,,,,,,,(Role VIEWER F) GetFile Labor,Role VIEWER H
,,,,,,,(Role VIEWER J 3B) GetFile Labor,Role VIEWER C
,,,,,,,(Role VIEWER E) GetFile Labor,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
LED,Parts,651,0,(Role VIEWER I) GetFile LED,(Role VIEWER I) GetFile LED,,(Role READ/DISCOVER P3) Read P3 LED,Type O Role
,,,,For LED Only - Exclude SBOM,For LED Only - Exclude SBOM,,Upgrade Supplier Access - Modify LED,Role VIEWER E
,,,,All Parts-LED (Subclass Access),All Parts-LED (Subclass Access),,Checkin-LED,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role VIEWER C) GetFile LED,(Role VIEWER C) GetFile LED,,(Role VIEWER B) GetFile LED,Create All Items (Subclass Level)
,,,,For LED Only,For LED Only,,(Role VIEWER J 3B) GetFile LED,Role DELL LEGAL
,,,,(Role VIEWER E) GetFile LED,(Role VIEWER E) GetFile LED,,(Role VIEWER H) GetFile LED,Role VIEWER I
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 LED,(Role MOD PARTS P3 PROJ PLNR) Mod P3 LED,,(Role MOD PARTS P3 CMA'S) Mod P3 LED,Role DOCUMENT SUBMITTER
,,,,(Role VIEWER D) GetFile LED,(Role VIEWER D) GetFile LED,,Modify Attachments-LED,Openmanage Viewer
,,,,(Role VIEWER B) GetFile LED,(Role VIEWER B) GetFile LED,,(Role VIEWER C) GetFile LED,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role VIEWER K 3D1) GetFile LED,(Role VIEWER K 3D1) GetFile LED,,(Role VIEWER E) GetFile LED,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER J 3B) GetFile LED,(Role VIEWER J 3B) GetFile LED,,(Role VIEWER G) GetFile LED,Role Check In Check Out
,,,,(Role VIEWER G) GetFile LED,(Role VIEWER G) GetFile LED,,(Role VIEWER I) GetFile LED,Role VIEWER F
,,,,(Role VIEWER F) GetFile LED,(Role VIEWER F) GetFile LED,,(Role VIEWER K 3D1) GetFile LED,Role CREATOR
,,,,(Role VIEWER H) GetFile LED,(Role VIEWER H) GetFile LED,,(Role VIEWER D) GetFile LED,Role READ/DISCOVER P3
,,,,,,,Checkout-LED,Role MOD PARTS P3 PROJ PLNR
,,,,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 LED,Role VIEWER J 3B
,,,,,,,Create-LED,Role VIEWER H
,,,,,,,(Role VIEWER F) GetFile LED,Role VIEWER C
,,,,,,,(Role READ/DISCOVER P3) Discover P3 LED,Role PGDS ANALYST
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
Lesson Learned,Problem Reports,2237,0,For Lesson Learned Problem Report Only,For Lesson Learned Problem Report Only,,(Role WORK PSR LESSON LEARNED) Read,Type O Role
,,,,PQM Upgrade Supplier Access Read/Discover LL $UserGroup,PQM Upgrade Supplier Access Read/Discover LL $UserGroup,,(Role WORK Lesson Learned) Modify Lesson Learned,Role WORK PSR LESSON LEARNED GENERAL USER
,,,,For PQM Lesson Learn CS & Modify LL Criteria,For PQM Lesson Learn CS & Modify LL Criteria,,(Role WORK PSR LESSON LEARNED) Modify as Super User,Role PQM SUPERUSER
,,,,For PQM Lesson Learn Modify as Originator LL Criteria,For PQM Lesson Learn Modify as Originator LL Criteria,,(Role WORK Lesson Learned) CS Lesson Learned Pending - Closed,
,,,,,,,(Role WORK Lesson Learned) Modify as Originator Lesson Learned,
,,,,,,,(Role WORK Lesson Learned) CS Lesson Learned as SuperUser,
,,,,,,,(Role WORK PSR LESSON LEARNED) Create,
,,,,,,,(Role WORK PSR LESSON LEARNED) Discovery,
,,,,,,,PQM Upgrade Supplier Access - Read Lessons Learned,
,,,,,,,PQM Upgrade Supplier Access - Discover Lessons Learned,
LOB Hierarchy,Parts,121,0,All Parts-LOB Hierarchy (Subclass Access),All Parts-LOB Hierarchy (Subclass Access),,Modify LOB Hierarchy,Discover Product Structure
,,,,For LOB Hierarchy Only,For LOB Hierarchy Only,,AEOP_MODIFY_LOB_HIERARCHY,Create All Items (Subclass Level)-LOB and Product Offering Hierarchies
,,,,,,,Read LOB Hierarchy,AEOP PROCESSOR
,,,,,,,Checkin-LOB Hierarchy,Role SBOM SUPERUSER
,,,,,,,Create-LOB Hierarchy,Role PMCT IT DEV
,,,,,,,Checkout-LOB Hierarchy,Role VIEWER E
,,,,,,,GetFile LOB Hierarchy,Create All Items (Subclass Level)
,,,,,,,Modify Attachments-LOB Hierarchy,Role DELL LEGAL
,,,,,,,Discover LOB Hierarchy,Role VIEWER I
,,,,,,,,Role DOCUMENT SUBMITTER
,,,,,,,,Openmanage Viewer
,,,,,,,,Role Check In Check Out
,,,,,,,,Role VIEWER F
,,,,,,,,Role WPR CMA
,,,,,,,,Role VIEWER J 3B
,,,,,,,,Role VIEWER H
,,,,,,,,Role VIEWER C
,,,,,,,,Role PGDS ANALYST
,,,,,,,,Role VIEWER G
,,,,,,,,Role COMPONENT ENGINEERING SERIES ONLY
,,,,,,,,Role SUPERUSER
,,,,,,,,Role PG CMA
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role PG PROJ PLNR
,,,,,,,,Role VIEWER D
M&A,suppliers,0,0,,,,,
Manufacturer,manufacturers,5314,24,For Manufacturer Only,For Manufacturer Only,,(Role AttributeState PX) Read Manufacturers,Role AttributeState PX
,,,,,,,Modify Manufacturer Objects Relationships tab,PPM - Internal Program Manager
,,,,,,,(Role SUPERUSER) Create Mfr,Role ASL MANAGER
,,,,,,,Add to Table Manufacturer Objects Relationships tab,Dell - Modify Relationships tab
,,,,,,,(Role ASL MANAGER) Create Manufacturers,Role SBOM SUPERUSER
,,,,,,,(Role SUPERUSER) Modify Mfr,Role PMCT IT DEV
,,,,,,,(Role ASL MANAGER) Cancel Checkout Mfr Objects,Dell+ CREATE/MODIFY MFR OBJ
,,,,,,,(Role ASL MANAGER) Modify Manufacturers,PPM - Milestone Program Manager
,,,,,,,(Role ASL MANAGER) Delete Manufacturers,Role SBOM AUTOMATION UPDATE RELATIONSHIP TABLE
,,,,,,,(Role SUPERUSER) Delete Mfr,Role SUPERUSER
,,,,,,,(Dell+ CREATE/MODIFY MFR OBJ) Create Manufacturers,PPM - Milestone Program Administrator
,,,,,,,Discover Manufacturers,Role PGIT
,,,,,,,,EBI Interface
Manufacturer Part,Manufacturer parts,667331,104,Upgrade Supplier Access - Add to Table Mfg Parts STEPHEN GOULD CORP,Upgrade Supplier Access - Add to Table Mfg Parts STEPHEN GOULD CORP,,(Role CREATOR) Create Manufacturer Parts,PPM - Internal Program Manager
,,,,For Manufacturer Part Only,For Manufacturer Part Only,,Modify MPN Objects Relationships tab,Role ASL MANAGER
,,,,Upgrade Supplier Access - Add to Table Mfg Parts $UserGroup,Upgrade Supplier Access - Add to Table Mfg Parts $UserGroup,,(Role ASL MANAGER) Modify Manufacturer Part,Role AttributeState PX
,,,,,,,(Role CREATOR) Modify Manufacturer Parts,Type O Role
,,,,,,,(Role ASL MANAGER) Delete Manufacturer Parts,Type B Role - Exclude Competitor (SAMSUNG RMSD)
,,,,,,,Upgrade Supplier Access - SaveAs Mfr Part,Type B Role - Exclude Competitor (NEC)
,,,,,,,(Role CREATOR) SaveAs Mfr Part,Role SBOM SUPERUSER
,,,,,,,(ea) Dell - Modify Manufacturer Part,Role PMCT IT DEV
,,,,,,,Upgrade Supplier Access - Create Mfr Parts,Type B Role - Exclude Competitor (TEAC)
,,,,,,,(Role CFI DAO MATERIALS) Modify Manufacturer Parts,Role EA Superusers
,,,,,,,(Role SUPERUSER) Create Mfr Part,Type B Role - Exclude Competitor (SANMINA SCI)
,,,,,,,Read Manufacturer Parts,Type B Role - Exclude Competitor (XYRATEX)
,,,,,,,Read Manufacturers,Type B Role - Exclude Competitor Template (INTEL)
,,,,,,,(Role SU VALIDATOR) GetFile Mfr Part,Role CFI DAO MATERIALS
,,,,,,,(Role SUPERUSER) Modify Mfr Part,Role SU VALIDATOR
,,,,,,,(Role DOCUMENT SUBMITTER) Modify Mfg Part/Attach,Role DOCUMENT SUBMITTER
,,,,,,,Discover Manufacturer Part,Type B Role - STEPHEN GOULD CORP
,,,,,,,Upgrade Supplier Access - Add to Table Mfg Parts (Type A\Type B) STEPHEN GOULD CORP,Type B Role - Exclude Competitor Template (AMD)
,,,,,,,(Role SUPERUSER) Delete Mfr Part,PPM - Milestone Program Administrator
,,,,,,,Upgrade Supplier Access - Add to Table Mfg Parts (Type A\Type B) $UserGroup,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,,,,Add to Table MPN Objects Relationships tab,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,,,,Upgrade Supplier Access - Discover Mfr Parts - Type O,Role CREATOR
,,,,,,,Upgrade Supplier Access - Read Mfr Parts - Type O,Type B Role - Exclude Competitor (EATON CORPORATION)
,,,,,,,,Dell - Modify Relationships tab
,,,,,,,,ACS Specific Role
,,,,,,,,Type O Role -Exclude Competitor (QISDA)
,,,,,,,,Type B Role - Exclude Competitor (DELTA ELECTRONICS)
,,,,,,,,Role CREATOR CFI
,,,,,,,,Role SBOM AUTOMATION MOD PARTS
,,,,,,,,Type B Role - Exclude Competitor (QUANTA/SERVERS)
,,,,,,,,Type B Role - Exclude Competitor (GIGA BYTE TECHNOLOGY)
,,,,,,,,PPM - Milestone Program Manager
,,,,,,,,Role SBOM AUTOMATION UPDATE RELATIONSHIP TABLE
,,,,,,,,Type D Role
,,,,,,,,Type B Role - Exclude Competitor (LITEON)
,,,,,,,,Role SUPERUSER
,,,,,,,,Role SERVICE_AGILE_PROD
,,,,,,,,Type B Role - Exclude Competitor (LG ELECTRONICS)
,,,,,,,,Type B Role
,,,,,,,,Agile Web Service
,,,,,,,,Role CREATOR CHANGES-NON PRODUCTION PARTS
,,,,,,,,EBI Interface
,,,,,,,,Role PGIT
,,,,,,,,Type A Role
,,,,,,,,Type B Role - Exclude Competitor (NANYA TECHNOLOGY)
Manufacturer Representative,suppliers,0,0,,,,,
Markup,File folders,0,0,Markup for Self,Markup for Self,,Modify All Markups,Design Change Analyst
,,,,All Markups,All Markups,,Create Markups,Markup For Self
,,,,,,,Read All Markups,Markup For All
,,,,,,,Modify My Markups,
,,,,,,,Checkin My Markups,
,,,,,,,Checkout All Markups,
,,,,,,,Read My Markups,
,,,,,,,Checkin All Markups,
,,,,,,,Checkout My Markups,
Material,Materials,0,0,,,,,
MCO,Manufacturer Orders,350927,28,(Role DAO CMA) Mod MCO Global,(Role DAO CMA) Mod MCO Global,Retired_DAO/BCC CFI WF,(Role EMF CMA) CS - Route MCO,Type O Role
,,,,(Role DAO CMA) CS - MCO WF.R Route,(Role DAO CMA) CS - MCO WF.R Route,GCS Workflow,(Role EMF CMA) CS - Cancel MCO,BulkUpdate Change Status Role
,,,,TRIPOD ELECTRONIC CO LTD Read MCO,TRIPOD ELECTRONIC CO LTD Read MCO,FGCO_POD MCO WF,Upgrade Supplier Access - Discover MCO,Role SBOM SUPERUSER
,,,,(Role DAO CMA) Mod MCO Regional,(Role DAO CMA) Mod MCO Regional,OLD--MCO Workflow,CS - EMC MCO WF-B.R Return,Role MOD RFV RELEASERS AUTOMATION USER
,,,,MCO Packaging CCL Dell Edu Laptops,MCO Packaging CCL Dell Edu Laptops,MCO Workflow,CS - EMC MCO WF-B.R Route,ROLE EMC CM CHANGE STATUS
,,,,(Role DAO CMA) CS - Cancel MCO,(Role DAO CMA) CS - Cancel MCO,,(Role EMF CMA) Mod MCO Regional,Role DELL LEGAL
,,,,(Role EMF CMA) Mod MCO Global,(Role EMF CMA) Mod MCO Global,,CS - EMC MCO WF-B.R Cancel,Type B Role - Exclude Competitor Template (INTEL)
,,,,(Role EMF CMA) CS - Cancel MCO,(Role EMF CMA) CS - Cancel MCO,,(Role MOD RFV RELEASERS CCC) Modify EMC MCO RFV,Role SU VALIDATOR
,,,,For MCO EA CCL Lead Free,For MCO EA CCL Lead Free,,(Role MOD CHANGES P3) Modify MCO P3,Type S Role
,,,,MCO Packaging CCL IoT,MCO Packaging CCL IoT,,Modify MCO Submit to Block for Block PjMs,Type B Role - Exclude Competitor Template (AMD)
,,,,MCO Reg CCL Iot Regulatory,MCO Reg CCL Iot Regulatory,,Modify DAO BCC CFI WF or GCS WF MCO RFV,Type G Role
,,,,(Role EMF CMA) Add App/Obs MCO,(Role EMF CMA) Add App/Obs MCO,,Upgrade Supplier Access - Comment MCO,Role MOD CHANGES P3
,,,,For MCO EA CCL,For MCO EA CCL,,(Role ADD APPROVERS) AddApprover MCO,Type B Role - Exclude Competitor (EATON CORPORATION)
,,,,(Role ROYALTY ACCOUNTING) Modify MCO,(Role ROYALTY ACCOUNTING) Modify MCO,,(Role ADD APPROVERS) RemoveApprover MCO,Type B Role - Exclude Competitor (DELTA ELECTRONICS)
,,,,(Role MOD RFV RELEASERS CCC) Modify EMC MCO RFV,(Role MOD RFV RELEASERS CCC) Modify EMC MCO RFV,,Upgrade Supplier Access - PrintTab MCO,Global CFI PM - NEW
,,,,(Role ROYALTY ACCOUNTING) CS - Release MCO,(Role ROYALTY ACCOUNTING) CS - Release MCO,,(Role APCC CMA) CS - MCO WF-B.R Cancel,Role CREATOR CFI
,,,,(Role ROYALTY ACCOUNTING) SaveAs MCO,(Role ROYALTY ACCOUNTING) SaveAs MCO,,Upgrade Supplier Access - Send MCO,Type B Role - Exclude Competitor (GIGA BYTE TECHNOLOGY)
,,,,MCO Packaging CCL Dell Pro Laptops,MCO Packaging CCL Dell Pro Laptops,,(Role APCC CMA) CS - MCO WF-B.R Return,Role MOD RFV RELEASERS GLOBAL ECM
,,,,ELEC & ELTEK CO LTD Discover MCO,ELEC & ELTEK CO LTD Discover MCO,,(Role APCC CMA) CS - MCO WF-B.R Route,Role VIEWER H
,,,,MCO BCC Optiplex CIB,MCO BCC Optiplex CIB,,(Role BCC CMA) CS - MCO WF-B.R Cancel,Role VIEWER C
,,,,MCO BCC Dimension CIB,MCO BCC Dimension CIB,,Upgrade Supplier Access - GetFile MCO,Role PGDS ANALYST
,,,,MCO BCC Server CIB,MCO BCC Server CIB,,(Role BCC CMA) CS - MCO WF-B.R Return,Type B Role - Exclude Competitor (LITEON)
,,,,MCO BCC Portable CIB,MCO BCC Portable CIB,,(Role BCC CMA) CS - MCO WF-B.R Route,Role SUPERUSER
,,,,MCO PEGATRON xCO Notification,MCO PEGATRON xCO Notification,,(Role APCC NPI) CS - MWF-B MCO Cancel,Type B Role - Exclude Competitor (LG ELECTRONICS)
,,,,MCO Packaging CCL Dell Laptops,MCO Packaging CCL Dell Laptops,,(Role CCC CMA) CS - MCO WF-B.R Cancel,Type C
,,,,(Role APCC CMA) Mod MCO Global,(Role APCC CMA) Mod MCO Global,,(Role CCC CMA) CS - MCO WF-B.R Return,Type B Role
,,,,(Role APCC CMA) Mod MCO R U/P/S,(Role APCC CMA) Mod MCO R U/P/S,,(Role CCC CMA) CS - MCO WF-B.R Route,OLD_Role APCC CMA & MATS CED
,,,,For MCOs in DAO BCC CFI WF and GCS WF,For MCOs in DAO BCC CFI WF and GCS WF,,(Role PG CMA) Modify MCO,Type A Role
,,,,ELEC & ELTEK CO LTD Read MCO,ELEC & ELTEK CO LTD Read MCO,,(Role BCC NPI) CS - MWF-B MCO Cancel,Type B Role - Exclude Competitor (NANYA TECHNOLOGY)
,,,,MCO Packaging CCL Dell Desktops,MCO Packaging CCL Dell Desktops,,(Role CREATOR) Create MCO,OLD_Role CCC CMA & MATS CED
,,,,(Role MOD RFV CREATORS) Modify MCO RFV,(Role MOD RFV CREATORS) Modify MCO RFV,,(Role DAO CMA) CS - MCO WF-B.R Return,Type B Role - Exclude Competitor (SAMSUNG RMSD)
,,,,(Role BCC CMA) CS - Return MCO,(Role BCC CMA) CS - Return MCO,,(Role DAO CMA) CS - MCO WF-B.R Route,OLD_Role DAO/BCC CMA & MATS CED
,,,,"GCS MCO B WW ENV Supplier Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL","GCS MCO B WW ENV Supplier Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL",,(Role CCC NPI) CS - MWF-B MCO Cancel,OLD_Role EMF CMA & MATS CED
,,,,(Role CCC CMA) Mod MCO Global,(Role CCC CMA) Mod MCO Global,,(Role APCC CMA) Mod MCO Regional,Type B Role - Exclude Competitor (NEC)
,,,,MCO Packaging CCL Dell Pro Desktops,MCO Packaging CCL Dell Pro Desktops,,(Role EMF CMA) CS - MCO WF-B.R Return,Role PMCT IT DEV
,,,,(Role SUPERUSER) CS - MCOs TRB to Submitted,(Role SUPERUSER) CS - MCOs TRB to Submitted,,(Role EMF CMA) CS - MCO WF-B.R Route,Type B Role - Exclude Competitor (TEAC)
,,,,"GCS MCO AB CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL","GCS MCO AB CFI DAO Material Auto Routing CCL - APCC, BCC,CCC,DAO,GLOBAL",,(Role DS FORM Processing) CS MCO all status,Role VIEWER E
,,,,MCO CCC Precision Mobile,MCO CCC Precision Mobile,,(Role EMF CMA) CS - MCO WF-B.R Cancel,Type B Role - Exclude Competitor (SANMINA SCI)
,,,,MCO CCC Precision Combo 3,MCO CCC Precision Combo 3,,(Role PG CMA) CS - MCO WF-B Route,Type B Role - Exclude Competitor (XYRATEX)
,,,,MCO CCC Precision Combo 2,MCO CCC Precision Combo 2,,(Role APCC CMA) CS - Route MCO,OLD_Role EMF Buyers CED
,,,,GCS MCO AB BCC CFI Cost Material Auto Routing CCL - BCC,GCS MCO AB BCC CFI Cost Material Auto Routing CCL - BCC,,(Role APCC CMA) CS - Cancel MCO,Role VIEWER I
,,,,"GCS MCO B WW ENV Supplier Auto Routing CCL - APCC,CCC,DAO,GLOBAL","GCS MCO B WW ENV Supplier Auto Routing CCL - APCC,CCC,DAO,GLOBAL",,(Role PG PROJ PLNR) CS - MWF-B MCO Cancel,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,CS - MCO WF.G Route SWB,CS - MCO WF.G Route SWB,,(Role ROYALTY ACCOUNTING) CS - MWF-B MCO Release-,Role MOD RFV RELEASERS WPR EMC PJM
,,,,MCO Component Eng CCL ESG,MCO Component Eng CCL ESG,,(Role APCC NPI) CS - Cancel MCO,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"GCS MCO AB CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL","GCS MCO AB CFI DAO Material Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL",,(Role PG PROJ PLNR) CS - MWF Submit to Block,Role WPR CMA
,,,,MCO Component Eng CCL CPG,MCO Component Eng CCL CPG,,(Role ROYALTY ACCOUNTING) CS - MWF-B MCO Submit,Type B Role - Exclude Competitor (QUANTA/SERVERS)
,,,,"GCS MCO CFI BCC DAO Cost Material AB Auto Routing CCL - BCC,DAO,GLOBAL","GCS MCO CFI BCC DAO Cost Material AB Auto Routing CCL - BCC,DAO,GLOBAL",,(Role MOD RFV RELEASERS PGCM) Modify MCO RFV,Role ADD APPROVERS
,,,,"GCS MCO B WW ENV Supplier Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL","GCS MCO B WW ENV Supplier Auto Routing CCL - APCC,CCC,DAO,EMEA,GLOBAL",,(Role ATTACH FILES ECO/MCO) Modify MCO to Attach Files,Role VIEWER G
,,,,MCO Packaging CCL Dell Pro Max Desktops,MCO Packaging CCL Dell Pro Max Desktops,,SBOM Modify MCO,Role ATTACH FILES ECO/MCO
,,,,(Role CFI DAO CMA) CS - Submit MCO,(Role CFI DAO CMA) CS - Submit MCO,,(Role SUPERUSER) CS - MCOs TRB to Submitted,Role PG CMA
,,,,GCS MCO AB CFI DAO Material Auto Routing CCL - DAO,GCS MCO AB CFI DAO Material Auto Routing CCL - DAO,,Upgrade Supplier Access - Discover MCO STEPHEN GOULD CORP,Role VIEWER B
,,,,GCS MCO B WW ENV Supplier Auto Routing CCL - BCC,GCS MCO B WW ENV Supplier Auto Routing CCL - BCC,,(Role CFI DAO CMA) CS - Submit MCO,Role VIEWER K 3D1
,,,,(Role BCC CMA) CS - Cancel MCO,(Role BCC CMA) CS - Cancel MCO,,Upgrade Supplier Access - Read MCO STEPHEN GOULD CORP,Role CREATOR CHANGES-NON PRODUCTION PARTS
,,,,"GCS MCO B WW ENV Supplier Auto Routing CCL - BCC,DAO,GLOBAL","GCS MCO B WW ENV Supplier Auto Routing CCL - BCC,DAO,GLOBAL",,Modify Supplier Access Attribute on Pending MCO,FG BOM IMPLEMENTOR
,,,,MCO Packaging CCL Dell Pro Max Laptops,MCO Packaging CCL Dell Pro Max Laptops,,(Role APCC CMA) Add App/Obs MCO,Role APCC CMA
