Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
,,,,(Role VIEWER C) GetFile Artwork,(Role VIEWER C) GetFile Artwork,,Upgrade Supplier Access - Modify Artwork,Role DELL LEGAL
,,,,(Role VIEWER J 3B) GetFile Artwork,(Role VIEWER J 3B) GetFile Artwork,,Create-Artwork,Role VIEWER I
,,,,(Role VIEWER B) GetFile Artwork,(Role VIEWER B) GetFile Artwork,,(Role READ/DISCOVER P3) Discover P3 Artwork,Role DOCUMENT SUBMITTER
,,,,(Role VIEWER F) GetFile Artwork,(Role VIEWER F) GetFile Artwork,,(Role VIEWER D) GetFile Artwork,Openmanage Viewer
,,,,(Role VIEWER G) GetFile Artwork,(Role VIEWER G) GetFile Artwork,,(Role VIEWER J 3B) GetFile Artwork,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Artwork,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Artwork,,(Role VIEWER F) GetFile Artwork,Role Check In Check Out
,,,,(Role VIEWER E) GetFile Artwork,(Role VIEWER E) GetFile Artwork,,(Role VIEWER H) GetFile Artwork,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER K 3D1) GetFile Artwork,(Role VIEWER K 3D1) GetFile Artwork,,Checkin-Artwork,Role CREATOR
,,,,(Role VIEWER D) GetFile Artwork,(Role VIEWER D) GetFile Artwork,,(Role READ/DISCOVER P3) Read P3 Artwork,Role VIEWER F
,,,,(Role VIEWER I) GetFile Artwork,(Role VIEWER I) GetFile Artwork,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Artwork,Role READ/DISCOVER P3
,,,,,,,(Role VIEWER C) GetFile Artwork,Role MOD PARTS P3 PROJ PLNR
,,,,,,,Modify Attachments-Artwork,Role VIEWER J 3B
,,,,,,,(Role VIEWER E) GetFile Artwork,Role VIEWER H
,,,,,,,(Role VIEWER G) GetFile Artwork,Role VIEWER C
,,,,,,,(Role VIEWER I) GetFile Artwork,Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
ASP Substitution,Problem Reports,30143,0,For PQM ASP CS & Modify ASP Criteria,For PQM ASP CS & Modify ASP Criteria,,(Role WORK ASP SUBSTITUTION) Modify ASP as SuperUser,Role WORK PSR ASP SUBSTITUTION GENERAL USER
,,,,For ASP Substitution Problem Report Only,For ASP Substitution Problem Report Only,,(Role WORK ASP SUBSTITUTION) Read ASP SUBSTITUTION,Role PQM SUPERUSER
,,,,For PQM ASP Modify as Originator ASP Criteria,For PQM ASP Modify as Originator ASP Criteria,,(Role WORK ASP SUBSTITUTION) Create ASP SUBSTITUTION,
,,,,,,,(Role WORK ASP SUBSTITUTION) Modify as Originator ASP,
,,,,,,,(Role WORK ASP SUBSTITUTION) CS ASP SUBSTITUTION,
,,,,,,,(Role WORK ASP SUBSTITUTION) Discovery ASP SUBSTITUTION,
,,,,,,,(Role WORK ASP SUBSTITUTION) Modify ASP,
